,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
94,6MnWfOgKRkQtY1pRgoTwB1,Reach,57.0,2020-08-07T08:16:37Z,2000.0,Reach,2000-06-12,[],S Club,243265.0,0.597,0.793,-7.006,0.0361,0.0123,5.45e-06,0.157,0.755,167.2
95,0AcLrSfAEBQcUnHOTm5pXg,Get It On Tonite,56.0,2020-08-07T08:16:37Z,2000.0,Get It On Tonite,2015-09-25,[],Montell Jordan,277413.0,0.807,0.498,-9.91,0.0756,0.259,3.04e-05,0.0618,0.857,99.001
96,0w07a1vsKahQMM0RnPXHVT,Dancing in the Moonlight,56.0,2020-08-07T08:16:37Z,2000.0,Dancing in the Moonlight,2000-05-30,[],Toploader,232693.0,0.632,0.856,-3.453,0.0358,0.0568,0.0,0.35,0.843,119.404
97,0zjORbo98bRxMmyS3wzeKW,Don't Give Up,56.0,2020-08-07T08:16:37Z,2000.0,Don't Give Up,2016-07-29,[],"Chicane,Bryan Adams",210786.0,0.644,0.72,-9.635,0.0419,0.00145,0.504,0.0839,0.53,132.017
98,4WhyHQ2BXi2VU1iaFbF6jv,Desert Rose,56.0,2020-08-07T08:16:37Z,2000.0,Desert Rose,1999-01-01,[],"Sting,Cheb Mami",285893.0,0.577,0.654,-7.9,0.0321,0.0143,0.0,0.114,0.13,111.993
99,3VEZvzr84WVnoorZ4tlBSw,He Can't Love U,56.0,2020-08-07T08:16:37Z,2000.0,He Can't Love U,2000-01-18,[],Jagged Edge,244053.0,0.721,0.836,-3.972,0.206,0.112,0.0,0.235,0.508,126.279
100,3WkibOpDF7cQ5xntM1epyf,It Wasn't Me,80.0,2020-08-07T08:17:59Z,2001.0,It Wasn't Me,2000-08-08,[],"Shaggy,Rik Rok",227600.0,0.853,0.606,-4.596,0.0713,0.0561,0.0,0.313,0.654,94.759
101,2Mpj1Ul5OFPyyP4wB62Rvi,Survivor,73.0,2020-08-07T08:17:59Z,2001.0,Survivor,2001-05-01,[],Destiny's Child,254026.0,0.514,0.911,-2.027,0.41,0.0559,0.0,0.775,0.619,161.109
102,3UmaczJpikHgJFyBTAJVoz,Stan,84.0,2020-08-07T08:17:59Z,2001.0,Stan,2000-05-23,[],"Eminem,Dido",404106.0,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063
103,3E7ZwUMJFqpsDOJzEkBrQ7,Can't Get You out of My Head,79.0,2020-08-07T08:17:59Z,2001.0,Can't Get You out of My Head,2001-10-01,[],Kylie Minogue,230640.0,0.766,0.563,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007
